Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,50,0.01,0.01,0.45747822201570915
75% Corpus,50,0.01,0.31,0.38992487348677535
75% Corpus,50,0.01,0.61,0.39189615651742166
75% Corpus,50,0.01,0.9099999999999999,0.38690210776100775
75% Corpus,50,0.01,symmetric,0.44218451698023903
75% Corpus,50,0.31,0.01,0.3637859670578905
75% Corpus,50,0.31,0.31,0.5137150414427297
75% Corpus,50,0.31,0.61,0.5297710809485426
75% Corpus,50,0.31,0.9099999999999999,0.6593822813229971
75% Corpus,50,0.31,symmetric,0.39993421615348984
75% Corpus,50,0.61,0.01,0.2822181553095302
75% Corpus,50,0.61,0.31,0.3973167104304153
75% Corpus,50,0.61,0.61,0.4424475679581693
75% Corpus,50,0.61,0.9099999999999999,0.4397137895691296
75% Corpus,50,0.61,symmetric,0.2789207920691334
75% Corpus,50,0.9099999999999999,0.01,0.270147534022777
75% Corpus,50,0.9099999999999999,0.31,0.409546830333404
75% Corpus,50,0.9099999999999999,0.61,0.4460103049491835
75% Corpus,50,0.9099999999999999,0.9099999999999999,0.43711934721340034
75% Corpus,50,0.9099999999999999,symmetric,0.27644687438908006
75% Corpus,50,symmetric,0.01,0.47064768856436856
75% Corpus,50,symmetric,0.31,0.41311454881171406
75% Corpus,50,symmetric,0.61,0.3831426196106091
75% Corpus,50,symmetric,0.9099999999999999,0.3817980825224462
75% Corpus,50,symmetric,symmetric,0.49349589367859326
75% Corpus,50,asymmetric,0.01,0.47219248344653786
75% Corpus,50,asymmetric,0.31,0.4290534580222674
75% Corpus,50,asymmetric,0.61,0.44431019963050383
75% Corpus,50,asymmetric,0.9099999999999999,0.4477753523390865
75% Corpus,50,asymmetric,symmetric,0.46861816034178205
75% Corpus,60,0.01,0.01,0.4113803525651249
75% Corpus,60,0.01,0.31,0.3742650544610367
75% Corpus,60,0.01,0.61,0.36256297413857286
75% Corpus,60,0.01,0.9099999999999999,0.3538903732028096
75% Corpus,60,0.01,symmetric,0.4228336106697971
75% Corpus,60,0.31,0.01,0.3237775318323889
75% Corpus,60,0.31,0.31,0.530928930187637
75% Corpus,60,0.31,0.61,0.5602511634922165
75% Corpus,60,0.31,0.9099999999999999,0.4396306200978934
75% Corpus,60,0.31,symmetric,0.3371979942944227
75% Corpus,60,0.61,0.01,0.29691204688201994
75% Corpus,60,0.61,0.31,0.4000313707579383
75% Corpus,60,0.61,0.61,0.43996975628035934
75% Corpus,60,0.61,0.9099999999999999,0.440005549529772
75% Corpus,60,0.61,symmetric,0.2994037820220041
75% Corpus,60,0.9099999999999999,0.01,0.28899677258677936
75% Corpus,60,0.9099999999999999,0.31,0.41124817430954685
75% Corpus,60,0.9099999999999999,0.61,0.44186197928069354
75% Corpus,60,0.9099999999999999,0.9099999999999999,0.446851141356046
75% Corpus,60,0.9099999999999999,symmetric,0.2879767520788769
75% Corpus,60,symmetric,0.01,0.41050500607753027
75% Corpus,60,symmetric,0.31,0.37468795189704696
75% Corpus,60,symmetric,0.61,0.3722300789017684
75% Corpus,60,symmetric,0.9099999999999999,0.35701851503960774
75% Corpus,60,symmetric,symmetric,0.41683254645718315
75% Corpus,60,asymmetric,0.01,0.4872504091515075
75% Corpus,60,asymmetric,0.31,0.45824372574987876
75% Corpus,60,asymmetric,0.61,0.46917471418463014
75% Corpus,60,asymmetric,0.9099999999999999,0.4561621071774182
75% Corpus,60,asymmetric,symmetric,0.48593840100386493
75% Corpus,70,0.01,0.01,0.467452585912594
75% Corpus,70,0.01,0.31,0.45764085507899555
75% Corpus,70,0.01,0.61,0.4437754427864584
75% Corpus,70,0.01,0.9099999999999999,0.4509379682603654
75% Corpus,70,0.01,symmetric,0.47923193753130905
75% Corpus,70,0.31,0.01,0.32731798705601545
75% Corpus,70,0.31,0.31,0.5536466728641692
75% Corpus,70,0.31,0.61,0.43590172887696105
75% Corpus,70,0.31,0.9099999999999999,0.4481829738290211
75% Corpus,70,0.31,symmetric,0.32588714754602194
75% Corpus,70,0.61,0.01,0.308391366627753
75% Corpus,70,0.61,0.31,0.400418095105392
75% Corpus,70,0.61,0.61,0.4443609663104366
75% Corpus,70,0.61,0.9099999999999999,0.44248814211198706
75% Corpus,70,0.61,symmetric,0.31304539420147154
75% Corpus,70,0.9099999999999999,0.01,0.29754123769488333
75% Corpus,70,0.9099999999999999,0.31,0.40355838385967585
75% Corpus,70,0.9099999999999999,0.61,0.4432755277964765
75% Corpus,70,0.9099999999999999,0.9099999999999999,0.43908945848627995
75% Corpus,70,0.9099999999999999,symmetric,0.29981317036575755
75% Corpus,70,symmetric,0.01,0.47758551911300484
75% Corpus,70,symmetric,0.31,0.4456727353841866
75% Corpus,70,symmetric,0.61,0.45710038765048117
75% Corpus,70,symmetric,0.9099999999999999,0.41329807228375376
75% Corpus,70,symmetric,symmetric,0.47126831128790314
75% Corpus,70,asymmetric,0.01,0.4772269890570438
75% Corpus,70,asymmetric,0.31,0.4536670647211815
75% Corpus,70,asymmetric,0.61,0.44775256392219936
75% Corpus,70,asymmetric,0.9099999999999999,0.4445188299635856
75% Corpus,70,asymmetric,symmetric,0.4721487315286011
75% Corpus,80,0.01,0.01,0.46206098598560386
75% Corpus,80,0.01,0.31,0.47462422006427396
75% Corpus,80,0.01,0.61,0.4543984676305518
