Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,0.01,0.01,0.42914076422894115
75% Corpus,10,0.01,0.31,0.32889375180722613
75% Corpus,10,0.01,0.61,0.45235162296144144
75% Corpus,10,0.01,0.9099999999999999,0.5030197410578777
75% Corpus,10,0.01,symmetric,0.3798333915984763
75% Corpus,10,0.31,0.01,0.4027569100464993
75% Corpus,10,0.31,0.31,0.41128457299575094
75% Corpus,10,0.31,0.61,0.40547570240117603
75% Corpus,10,0.31,0.9099999999999999,0.49607956343128806
75% Corpus,10,0.31,symmetric,0.4248781162795199
75% Corpus,10,0.61,0.01,0.3624764458189903
75% Corpus,10,0.61,0.31,0.37210493212921314
75% Corpus,10,0.61,0.61,0.3965326886516803
75% Corpus,10,0.61,0.9099999999999999,0.3509248950521252
75% Corpus,10,0.61,symmetric,0.4346451221007358
75% Corpus,10,0.9099999999999999,0.01,0.33348910350758754
75% Corpus,10,0.9099999999999999,0.31,0.3754759981433855
75% Corpus,10,0.9099999999999999,0.61,0.389325731738704
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.44354950181671315
75% Corpus,10,0.9099999999999999,symmetric,0.41562588785064775
75% Corpus,10,symmetric,0.01,0.4140327434839114
75% Corpus,10,symmetric,0.31,0.3401003077930078
75% Corpus,10,symmetric,0.61,0.40408676054669046
75% Corpus,10,symmetric,0.9099999999999999,0.4188503083265654
75% Corpus,10,symmetric,symmetric,0.4688197667186632
75% Corpus,10,asymmetric,0.01,0.49731963434998505
75% Corpus,10,asymmetric,0.31,0.4226442721480101
75% Corpus,10,asymmetric,0.61,0.4787327955820534
75% Corpus,10,asymmetric,0.9099999999999999,0.4285259510948264
75% Corpus,10,asymmetric,symmetric,0.4438808623920587
75% Corpus,20,0.01,0.01,0.5114506933715927
75% Corpus,20,0.01,0.31,0.4546223251982705
75% Corpus,20,0.01,0.61,0.5275772636044725
75% Corpus,20,0.01,0.9099999999999999,0.4833346781231943
75% Corpus,20,0.01,symmetric,0.6147320041524182
75% Corpus,20,0.31,0.01,0.40847280841254213
75% Corpus,20,0.31,0.31,0.4592641169934514
75% Corpus,20,0.31,0.61,0.4821401503972127
75% Corpus,20,0.31,0.9099999999999999,0.42583410567518376
75% Corpus,20,0.31,symmetric,0.45649205957797667
75% Corpus,20,0.61,0.01,0.37341799924506336
75% Corpus,20,0.61,0.31,0.4530040718232272
75% Corpus,20,0.61,0.61,0.5332137383875231
75% Corpus,20,0.61,0.9099999999999999,0.3792699768006604
75% Corpus,20,0.61,symmetric,0.40188878504012626
75% Corpus,20,0.9099999999999999,0.01,0.327018942151693
75% Corpus,20,0.9099999999999999,0.31,0.38097071342828237
75% Corpus,20,0.9099999999999999,0.61,0.3761970732300123
75% Corpus,20,0.9099999999999999,0.9099999999999999,0.37661784453257685
75% Corpus,20,0.9099999999999999,symmetric,0.4182738426908158
75% Corpus,20,symmetric,0.01,0.5817444626057411
75% Corpus,20,symmetric,0.31,0.5085606441355719
75% Corpus,20,symmetric,0.61,0.49997846582851546
75% Corpus,20,symmetric,0.9099999999999999,0.5075421506075124
75% Corpus,20,symmetric,symmetric,0.6086977982057287
75% Corpus,20,asymmetric,0.01,0.5076348848503509
75% Corpus,20,asymmetric,0.31,0.4586812921323323
75% Corpus,20,asymmetric,0.61,0.44049564513082184
75% Corpus,20,asymmetric,0.9099999999999999,0.473184195068632
75% Corpus,20,asymmetric,symmetric,0.5103965702830311
75% Corpus,30,0.01,0.01,0.5386935959951992
75% Corpus,30,0.01,0.31,0.5372877656815718
75% Corpus,30,0.01,0.61,0.5100671050106701
75% Corpus,30,0.01,0.9099999999999999,0.5349103415484341
75% Corpus,30,0.01,symmetric,0.6065667862717802
75% Corpus,30,0.31,0.01,0.4506384036328689
75% Corpus,30,0.31,0.31,0.49627578447852794
75% Corpus,30,0.31,0.61,0.4452255574296324
75% Corpus,30,0.31,0.9099999999999999,0.32436841147076234
75% Corpus,30,0.31,symmetric,0.4611746379270628
75% Corpus,30,0.61,0.01,0.31159178901666507
75% Corpus,30,0.61,0.31,0.3726570324949812
75% Corpus,30,0.61,0.61,0.37141790243141454
75% Corpus,30,0.61,0.9099999999999999,0.4215980918125792
75% Corpus,30,0.61,symmetric,0.3201941648631419
75% Corpus,30,0.9099999999999999,0.01,0.31618742394846094
75% Corpus,30,0.9099999999999999,0.31,0.4460009818726189
75% Corpus,30,0.9099999999999999,0.61,0.4025072774367103
75% Corpus,30,0.9099999999999999,0.9099999999999999,0.3139790373955726
75% Corpus,30,0.9099999999999999,symmetric,0.4396374448110502
75% Corpus,30,symmetric,0.01,0.5492459961328371
75% Corpus,30,symmetric,0.31,0.5393111824103652
75% Corpus,30,symmetric,0.61,0.5214914959747863
75% Corpus,30,symmetric,0.9099999999999999,0.5073423257802419
75% Corpus,30,symmetric,symmetric,0.6269014653712109
75% Corpus,30,asymmetric,0.01,0.5190966676867913
75% Corpus,30,asymmetric,0.31,0.4769675031266295
75% Corpus,30,asymmetric,0.61,0.5023459943380445
75% Corpus,30,asymmetric,0.9099999999999999,0.5025916546195651
75% Corpus,30,asymmetric,symmetric,0.5050149927026717
75% Corpus,40,0.01,0.01,0.5292180181912594
75% Corpus,40,0.01,0.31,0.5148289352764295
75% Corpus,40,0.01,0.61,0.44944467395400817
75% Corpus,40,0.01,0.9099999999999999,0.49390497386552373
75% Corpus,40,0.01,symmetric,0.5572592007554951
75% Corpus,40,0.31,0.01,0.4027394468124397
75% Corpus,40,0.31,0.31,0.43418705352663894
75% Corpus,40,0.31,0.61,0.3984659369071111
75% Corpus,40,0.31,0.9099999999999999,0.34393218598931286
75% Corpus,40,0.31,symmetric,0.38980818607719153
75% Corpus,40,0.61,0.01,0.3012368011630535
75% Corpus,40,0.61,0.31,0.4336770155621993
75% Corpus,40,0.61,0.61,0.4108208220253758
75% Corpus,40,0.61,0.9099999999999999,0.3458207333788731
75% Corpus,40,0.61,symmetric,0.3013372803304892
75% Corpus,40,0.9099999999999999,0.01,0.2931777790196997
75% Corpus,40,0.9099999999999999,0.31,0.4622384216675023
75% Corpus,40,0.9099999999999999,0.61,0.3872346981676522
75% Corpus,40,0.9099999999999999,0.9099999999999999,0.39034714613645716
75% Corpus,40,0.9099999999999999,symmetric,0.2991564102716374
75% Corpus,40,symmetric,0.01,0.5344989926612389
75% Corpus,40,symmetric,0.31,0.5097278448751763
75% Corpus,40,symmetric,0.61,0.5066902856383768
75% Corpus,40,symmetric,0.9099999999999999,0.4792135371592618
75% Corpus,40,symmetric,symmetric,0.5632003091573464
75% Corpus,40,asymmetric,0.01,0.4827202479775078
75% Corpus,40,asymmetric,0.31,0.5211680022824269
75% Corpus,40,asymmetric,0.61,0.47004408008162224
75% Corpus,40,asymmetric,0.9099999999999999,0.4813879363191047
75% Corpus,40,asymmetric,symmetric,0.48290763884150867
75% Corpus,50,0.01,0.01,0.47603915718490275
75% Corpus,50,0.01,0.31,0.45374640856518583
75% Corpus,50,0.01,0.61,0.47638863124909625
75% Corpus,50,0.01,0.9099999999999999,0.4609453702948026
75% Corpus,50,0.01,symmetric,0.4675689906486402
75% Corpus,50,0.31,0.01,0.3464483255396693
75% Corpus,50,0.31,0.31,0.3757676639965741
75% Corpus,50,0.31,0.61,0.37819835365493726
75% Corpus,50,0.31,0.9099999999999999,0.4129529318899565
75% Corpus,50,0.31,symmetric,0.3417807508062034
75% Corpus,50,0.61,0.01,0.3218042668845744
75% Corpus,50,0.61,0.31,0.38069943209083107
75% Corpus,50,0.61,0.61,0.3156764139278584
75% Corpus,50,0.61,0.9099999999999999,0.3701387930696014
75% Corpus,50,0.61,symmetric,0.31609904180349485
75% Corpus,50,0.9099999999999999,0.01,0.3108437079782821
75% Corpus,50,0.9099999999999999,0.31,0.44682628847526706
75% Corpus,50,0.9099999999999999,0.61,0.5825258547117333
75% Corpus,50,0.9099999999999999,0.9099999999999999,0.42163930589475307
75% Corpus,50,0.9099999999999999,symmetric,0.3034597773532881
75% Corpus,50,symmetric,0.01,0.4748092639566383
75% Corpus,50,symmetric,0.31,0.47675781105818565
75% Corpus,50,symmetric,0.61,0.4326549027478838
75% Corpus,50,symmetric,0.9099999999999999,0.4733506633657967
75% Corpus,50,symmetric,symmetric,0.49681227024524716
75% Corpus,50,asymmetric,0.01,0.48045634613775945
75% Corpus,50,asymmetric,0.31,0.4630417742068279
75% Corpus,50,asymmetric,0.61,0.47660212930182466
75% Corpus,50,asymmetric,0.9099999999999999,0.46477276362843445
75% Corpus,50,asymmetric,symmetric,0.46789385403539535
75% Corpus,60,0.01,0.01,0.4831800435946472
75% Corpus,60,0.01,0.31,0.4673937014063082
75% Corpus,60,0.01,0.61,0.4729099243734688
75% Corpus,60,0.01,0.9099999999999999,0.4354564793438642
75% Corpus,60,0.01,symmetric,0.4852707233181612
75% Corpus,60,0.31,0.01,0.357747812231676
75% Corpus,60,0.31,0.31,0.4387665782772225
75% Corpus,60,0.31,0.61,0.3495330902161226
75% Corpus,60,0.31,0.9099999999999999,0.5040382370059627
75% Corpus,60,0.31,symmetric,0.35465049658931924
75% Corpus,60,0.61,0.01,0.33544614401530765
75% Corpus,60,0.61,0.31,0.3822444322589263
75% Corpus,60,0.61,0.61,0.40878292237801295
75% Corpus,60,0.61,0.9099999999999999,0.38683704419966897
75% Corpus,60,0.61,symmetric,0.33011128255515276
75% Corpus,60,0.9099999999999999,0.01,0.4482731985978319
75% Corpus,60,0.9099999999999999,0.31,0.4386552534325655
75% Corpus,60,0.9099999999999999,0.61,0.44020412072326354
75% Corpus,60,0.9099999999999999,0.9099999999999999,0.5806774198622174
75% Corpus,60,0.9099999999999999,symmetric,0.3264396558124211
75% Corpus,60,symmetric,0.01,0.4804232648247853
75% Corpus,60,symmetric,0.31,0.4805191641336963
75% Corpus,60,symmetric,0.61,0.43803218402391647
75% Corpus,60,symmetric,0.9099999999999999,0.45033654718578736
75% Corpus,60,symmetric,symmetric,0.48333138548814253
75% Corpus,60,asymmetric,0.01,0.4810285126791451
75% Corpus,60,asymmetric,0.31,0.4731383842048368
75% Corpus,60,asymmetric,0.61,0.46991033852735187
75% Corpus,60,asymmetric,0.9099999999999999,0.46181959325623695
75% Corpus,60,asymmetric,symmetric,0.4733760355979442
75% Corpus,70,0.01,0.01,0.4576559238324766
75% Corpus,70,0.01,0.31,0.46926159759945235
75% Corpus,70,0.01,0.61,0.4869160156447544
75% Corpus,70,0.01,0.9099999999999999,0.44673010639237903
75% Corpus,70,0.01,symmetric,0.45837854865202093
75% Corpus,70,0.31,0.01,0.35784418354648223
75% Corpus,70,0.31,0.31,0.39285672107512837
75% Corpus,70,0.31,0.61,0.5419117173289546
75% Corpus,70,0.31,0.9099999999999999,0.4958618775293191
75% Corpus,70,0.31,symmetric,0.3974210294225378
75% Corpus,70,0.61,0.01,0.34505140161884945
75% Corpus,70,0.61,0.31,0.36222320453974277
75% Corpus,70,0.61,0.61,0.31506746458178636
